experiment_case_id,event_id,market,event_type_l2,actor_budget,status,wall_seconds,configured_actor_count,active_actor_count,active_actor_ratio,valid_decision_count,valid_decision_ratio,autonomous_action_count,autonomous_actions_per_actor,scenario_count,graph_backend,scenario_actor_count,scenario_actor_coverage_ratio,unique_scenario_actor_pair_count,zep_bypassed,error
ablate_cn_01_a4_seed_cn_000001__cadc5be9ba,seed_cn_000001__cadc5be9ba,CN,并购/分拆/再融资,4,completed,137.0,4,4,1.0,4,1.0,11,2.75,4,direct,4,1.0,4,True,
ablate_cn_01_a6_seed_cn_000001__cadc5be9ba,seed_cn_000001__cadc5be9ba,CN,并购/分拆/再融资,6,completed,123.0,6,6,1.0,6,1.0,16,2.6666666666666665,4,direct,4,0.6666666666666666,4,True,
ablate_cn_02_a4_seed_cn_sh516200__e866c7d2f0,seed_cn_sh516200__e866c7d2f0,CN,增长/就业数据意外,4,completed,97.0,4,4,1.0,4,1.0,9,2.25,3,direct,4,1.0,3,True,
ablate_cn_02_a6_seed_cn_sh516200__e866c7d2f0,seed_cn_sh516200__e866c7d2f0,CN,增长/就业数据意外,6,completed,129.0,6,6,1.0,5,0.8333333333333334,14,2.3333333333333335,3,direct,4,0.6666666666666666,3,True,
ablate_us_03_a4_seed_us_nflx_event_c769ff697e__dup7,seed_us_nflx_event_c769ff697e__dup7,US,并购/分拆/再融资,4,completed,75.0,4,4,1.0,4,1.0,12,3.0,4,direct,4,1.0,4,True,
ablate_us_03_a6_seed_us_nflx_event_c769ff697e__dup7,seed_us_nflx_event_c769ff697e__dup7,US,并购/分拆/再融资,6,completed,65.0,6,6,1.0,6,1.0,16,2.6666666666666665,4,direct,4,0.6666666666666666,4,True,
ablate_us_04_a4_seed_us_spy_event_47ebaf7f54__dup11,seed_us_spy_event_47ebaf7f54__dup11,US,增长/就业数据意外,4,completed,76.0,4,4,1.0,4,1.0,10,2.5,4,direct,4,1.0,4,True,
ablate_us_04_a6_seed_us_spy_event_47ebaf7f54__dup11,seed_us_spy_event_47ebaf7f54__dup11,US,增长/就业数据意外,6,completed,65.0,6,6,1.0,6,1.0,22,3.6666666666666665,3,direct,3,0.5,3,True,
scale_001_seed_cn_603259__9603b4d460,seed_cn_603259__9603b4d460,CN,公司指引上调/下调,6,completed,78.0,6,6,1.0,6,1.0,17,2.8333333333333335,4,direct,5,0.8333333333333334,4,True,
scale_002_seed_cn_300308__17006b634a,seed_cn_300308__17006b634a,CN,公司指引上调/下调,6,completed,79.0,6,6,1.0,6,1.0,16,2.6666666666666665,4,direct,4,0.6666666666666666,4,True,
scale_003_seed_cn_sh516200__e866c7d2f0,seed_cn_sh516200__e866c7d2f0,CN,增长/就业数据意外,8,completed,96.0,8,8,1.0,8,1.0,24,3.0,4,direct,4,0.5,4,True,
scale_004_seed_cn_sh516650__747b7e18cb,seed_cn_sh516650__747b7e18cb,CN,增长/就业数据意外,8,completed,73.0,8,8,1.0,8,1.0,21,2.625,3,direct,4,0.5,3,True,
scale_005_seed_cn_000001__cadc5be9ba,seed_cn_000001__cadc5be9ba,CN,并购/分拆/再融资,8,completed,90.0,8,8,1.0,8,1.0,22,2.75,4,direct,5,0.625,4,True,
scale_006_seed_cn_300620_event_e2cfab102a,seed_cn_300620_event_e2cfab102a,CN,并购/分拆/再融资,8,completed,90.0,8,8,1.0,8,1.0,21,2.625,3,direct,3,0.375,3,True,
scale_007_seed_cn_sz399005__d09d0bcaf1,seed_cn_sz399005__d09d0bcaf1,CN,政策利率调整,4,completed,81.0,4,4,1.0,4,1.0,13,3.25,4,direct,4,1.0,4,True,
scale_008_seed_cn_sh562320__67442d72bf,seed_cn_sh562320__67442d72bf,CN,政策利率调整,4,completed,80.0,4,4,1.0,4,1.0,10,2.5,4,direct,4,1.0,4,True,
scale_009_seed_cn_600508_event_610059cf64,seed_cn_600508_event_610059cf64,CN,财报超预期/不及预期,6,completed,74.0,6,6,1.0,6,1.0,15,2.5,3,direct,3,0.5,3,True,
scale_010_seed_cn_600809__39b00eee8e,seed_cn_600809__39b00eee8e,CN,财报超预期/不及预期,6,completed,85.0,6,6,1.0,6,1.0,17,2.8333333333333335,4,direct,4,0.6666666666666666,4,True,
scale_011_seed_cn_sh512980__7d18ffa35e,seed_cn_sh512980__7d18ffa35e,CN,通胀数据意外,4,completed,91.0,4,4,1.0,4,1.0,10,2.5,4,direct,4,1.0,4,True,
scale_012_seed_cn_sh513080__be137395db,seed_cn_sh513080__be137395db,CN,通胀数据意外,4,completed,86.0,4,4,1.0,4,1.0,10,2.5,4,direct,4,1.0,4,True,
scale_013_seed_us_blk__ddc3006ab0,seed_us_blk__ddc3006ab0,US,公司指引上调/下调,6,completed,72.0,6,6,1.0,6,1.0,15,2.5,4,direct,5,0.8333333333333334,4,True,
scale_014_seed_us_mdt__fc07a09c2e,seed_us_mdt__fc07a09c2e,US,公司指引上调/下调,6,completed,76.0,6,6,1.0,5,0.8333333333333334,19,3.1666666666666665,3,direct,4,0.6666666666666666,3,True,
scale_015_seed_us_spy_event_47ebaf7f54__dup11,seed_us_spy_event_47ebaf7f54__dup11,US,增长/就业数据意外,8,completed,102.0,8,8,1.0,8,1.0,23,2.875,4,direct,4,0.5,4,True,
scale_016_seed_us_spy_event_47ebaf7f54__dup13,seed_us_spy_event_47ebaf7f54__dup13,US,增长/就业数据意外,8,completed,71.0,8,8,1.0,8,1.0,22,2.75,3,direct,3,0.375,3,True,
scale_017_seed_us_nflx_event_c769ff697e__dup7,seed_us_nflx_event_c769ff697e__dup7,US,并购/分拆/再融资,8,completed,83.0,8,8,1.0,8,1.0,26,3.25,4,direct,4,0.5,4,True,
scale_018_seed_us_msft_event_f6f1e4d8cc,seed_us_msft_event_f6f1e4d8cc,US,并购/分拆/再融资,8,completed,128.0,8,8,1.0,7,0.875,21,2.625,4,direct,4,0.5,4,True,
scale_019_seed_us_xlre__e2f4713286,seed_us_xlre__e2f4713286,US,政策利率调整,4,completed,68.0,4,4,1.0,4,1.0,9,2.25,4,direct,4,1.0,4,True,
scale_020_seed_us_kre__e68ccf0825,seed_us_kre__e68ccf0825,US,政策利率调整,4,completed,101.0,4,4,1.0,3,0.75,9,2.25,4,direct,3,0.75,3,True,
scale_021_seed_us_mmm__c9cd6c9787,seed_us_mmm__c9cd6c9787,US,财报超预期/不及预期,6,completed,78.0,6,6,1.0,5,0.8333333333333334,16,2.6666666666666665,4,direct,4,0.6666666666666666,4,True,
scale_022_seed_us_fdx__da5590dd4e,seed_us_fdx__da5590dd4e,US,财报超预期/不及预期,6,completed,66.0,6,6,1.0,6,1.0,17,2.8333333333333335,4,direct,4,0.6666666666666666,4,True,
scale_023_seed_us_lqd__8e86e41e37,seed_us_lqd__8e86e41e37,US,通胀数据意外,4,completed,77.0,4,4,1.0,4,1.0,10,2.5,3,direct,3,0.75,3,True,
scale_024_seed_us_hyg__a715cbff19,seed_us_hyg__a715cbff19,US,通胀数据意外,4,completed,76.0,4,4,1.0,4,1.0,12,3.0,4,direct,4,1.0,4,True,
