序号,股票代码,股票简称,每股收益,营业收入-营业收入,营业收入-去年同期,营业收入-同比增长,营业收入-季度环比增长,净利润-净利润,净利润-去年同期,净利润-同比增长,净利润-季度环比增长,每股净资产,净资产收益率,所处行业,公告日期
1,688121,*ST卓然,0.44,2986257900.0,2958577200.0,0.935608508036,86.32553788718,105289200.0,153984200.0,-31.623374346199,5276.3409237928,10.98,3.91,专用设备,2026-08-06
2,688478,晶升股份,0.39,424966300.0,405570800.0,4.782272293765,-21.282655603791,53747100.0,71017500.0,-24.31851304256,-103.2599646543,11.39,3.41,半导体,2026-04-30
3,688439,振华风光,1.4385,1003411300.0,1297124400.0,-22.643402591147,16.065196400831,287700200.0,610606100.0,-52.882848697385,128.9530200763,24.45,5.99,军工电子Ⅱ,2026-04-30
4,688159,有方科技,1.09,3069150858.65,931924935.66,229.334557023779,-38.019931651546,100246267.87,-38431553.37,360.843653403438,-63.7012710228,9.3,12.61,通信设备,2026-04-30
5,688133,泰坦科技,0.08,2883520638.14,2769649016.88,4.111409805574,3.963964517325,12892914.72,72571508.67,-82.234192238407,-30.9102333652,16.94,0.49,化学制品,2026-04-30
6,688066,*ST航图,-5.33,1575271317.38,1818742736.36,-13.386798149764,-54.097494439522,-1392889049.16,-374205669.01,-272.225533847478,-3055.8659232447,3.35,-87.57,IT服务Ⅱ,2026-04-30
7,688695,中创股份,0.49,194253700.0,179927500.0,7.962207000042,152.519802731688,38716800.0,66663400.0,-41.921954175755,275.635590173,9.54,5.51,软件开发,2026-04-28
8,688669,聚石化学,-1.95,4080206398.29,3685171155.32,10.719590117266,-10.729808384853,-236146837.06,28578460.37,-926.310563979483,-1967.9446550663,10.75,-16.29,塑料,2026-04-28
9,688592,司南导航,-0.41,412861400.0,411692300.0,0.283974220553,186.568012792423,-33051900.0,41821000.0,-179.031826116066,-147.3706354168,11.76,-3.32,通信设备,2026-04-28
10,688196,卓越新能,1.24,3563325200.0,2811721900.0,26.731068246828,-43.463932197146,149018800.0,78610800.0,89.56530145985,742.9940040605,23.27,5.45,化学制品,2026-04-28
11,688010,福光股份,0.06,621389800.0,587187800.0,5.824712298178,-14.785063191446,9963400.0,-68274500.0,114.593149711825,3484.6526494544,10.75,0.58,光学光电子,2026-04-28
12,688523,航天环宇,0.2508,508040300.0,456204400.0,11.362428770963,117.499255636139,101566200.0,134378000.0,-24.417538585185,77.607206515,4.01,6.19,航天装备Ⅱ,2026-04-25
13,688455,科捷智能,-0.34,1393603611.09,1148462679.85,21.345136898312,315.102439259003,-58626845.09,-77929137.35,24.769031092066,82.9434141835,5.76,-5.15,自动化设备,2026-04-25
14,688280,精进电动,-0.74,1304900600.0,866239100.0,50.639771397989,13.258421764565,-436413300.0,-576941100.0,24.357391075103,50.7489387664,0.98,-54.73,汽车零部件,2026-04-25
15,688221,前沿生物,-0.54,129472900.0,114249557.31,13.324640417375,-6.797235464253,-201382600.0,-328964344.09,38.782848774363,75.9843521443,3.05,-16.21,化学制药,2026-04-25
16,688003,天准科技,0.6499,1608741148.61,1648022914.6,-2.383569162904,144.358641483416,124690602.51,215172445.39,-42.050850291728,1000.0337640407,10.03,6.55,自动化设备,2026-04-25
17,002807,江阴银行,0.8357,3961937000.0,3864956000.0,2.50923943248,11.891599147223,2036811400.0,1888085000.0,7.877102990596,126.1338632023,7.55,11.55,银行Ⅱ,2026-04-24
18,688466,金科环境,0.55,617105300.0,572755000.0,7.743328299186,50.435809922421,66792900.0,70770900.0,-5.620954375315,57.1315178345,9.13,5.75,环境治理,2026-04-23
19,300720,海川智能,0.25,236429600.0,225499535.0,4.847045471735,-9.511404815737,47828600.0,36185787.2,32.175098846544,-34.5287745782,3.02,8.1,通用设备,2026-04-23
20,000603,盛达资源,0.57,2013208400.0,2253503431.67,-10.663175759707,13.124719459345,390035400.0,147986998.1,163.56058640803,63.5232561311,4.41,11.96,贵金属,2026-04-23
21,688378,奥来德,0.36,532816100.0,517278800.0,3.003660695161,-43.279644715314,90432800.0,122266000.0,-26.036019825626,-214.6260910366,6.97,5.15,光学光电子,2026-04-22
22,300724,捷佳伟创,7.94,18887205200.0,8733427188.69,116.263384258352,14.35991552509,2763592200.0,1633562727.98,69.175762440255,-7.0055874566,31.88,27.98,光伏设备,2026-04-21
23,688685,迈信林,0.31,476765441.67,293665344.55,62.349916501239,53.316481947865,45542946.83,15245483.93,198.730739142893,22.5428976703,5.1,6.36,航空装备Ⅱ,2026-04-18
24,688531,日联科技,0.87,739495900.0,587392800.0,25.894614302389,27.183186972071,143304400.0,114238400.0,25.443283519377,35.5793954447,19.5,4.44,专用设备,2026-04-18
25,688201,ST信安,-0.1515,500562900.0,549226900.0,-8.860454577152,75.081264744081,-47817600.0,11222700.0,-526.07928573338,107.7697230054,4.05,-3.6,软件开发,2026-04-18
26,000966,长源电力,0.2545,17391175400.0,14457133396.36,20.294770223112,-10.532531993638,715222500.0,349062023.56,104.898399632712,-141.9285915571,3.91,6.79,电力,2026-04-16
27,600521,华海药业,0.77,9547425400.0,8308719758.46,14.908501881758,8.513188746498,1118981200.0,830466003.18,34.741361562692,-68.9733245312,6.07,13.24,化学制药,2026-04-15
28,002976,瑞玛精密,-0.21,1774337400.0,1577075986.71,12.508047484859,29.650065498622,-25315500.0,51677894.69,-148.987096227236,-56.2800487154,6.38,-2.35,汽车零部件,2026-04-15
29,002538,ST司特,0.35,4282555700.0,3913218742.24,9.438188409283,18.736624589227,301897500.0,131154593.91,130.184464760088,-36.1878153385,5.99,5.62,农化制品,2026-04-15
30,002521,齐峰新材,0.22,3388348400.0,3660823685.97,-7.443004890245,6.344108053735,112321900.0,236779896.46,-52.562737935408,326.0391038288,7.17,2.99,造纸,2026-04-15
31,002468,申通快递,0.69,47169000000.0,40923638519.97,15.261012231311,14.728650399151,1040000000.0,340696536.7,205.256992064986,79.8361559879,6.44,11.19,物流,2026-04-15
32,002437,誉衡药业,0.1059,2440732000.0,2626039306.71,-7.056532102795,-8.326172033816,232759500.0,120334186.37,93.427576170514,-15.7929743352,0.8557,12.89,化学制药,2026-04-15
33,002132,恒星科技,0.01,5085431900.0,4577327030.1,11.100471226084,12.947488012176,13607500.0,54459990.18,-75.013767070055,-158.974898908,2.51,0.37,通用设备,2026-04-15
