序号,股票代码,股票简称,预测指标,业绩变动,预测数值,业绩变动幅度,业绩变动原因,预告类型,上年同期值,公告日期
1,603378,*ST亚士,扣除非经常性损益后的净利润,"预计2025年1-12月扣除非经常性损益后的净利润亏损:134,500万元至138,500万元。",-1365000000.0,-281.69,"报告期内,受房地产和建筑行业持续疲软和订单大幅下滑影响,公司营业收入下滑,毛利率下降。此外,公司按照《企业会计准则》,基于谨慎性原则,对出现减值迹象的固定资产、在建工程、应收账款等资产计提减值准备,对前期确认的递延所得税资产予以冲回。综合以上因素,导致公司年度利润出现亏损。",增亏,-357617900.0,2026-04-29
2,603378,*ST亚士,归属于上市公司股东的净利润,"预计2025年1-12月归属于上市公司股东的净利润亏损:135,500万元至139,500万元。",-1375000000.0,-317.575,"报告期内,受房地产和建筑行业持续疲软和订单大幅下滑影响,公司营业收入下滑,毛利率下降。此外,公司按照《企业会计准则》,基于谨慎性原则,对出现减值迹象的固定资产、在建工程、应收账款等资产计提减值准备,对前期确认的递延所得税资产予以冲回。综合以上因素,导致公司年度利润出现亏损。",增亏,-329285000.0,2026-04-29
3,603313,梦百合,归属于上市公司股东的净利润,预计2025年1-12月归属于上市公司股东的净利润亏损:982.25万元。,-9822500.0,93.51,"2026年1月底,经财务部门内部测算,公司预计2025年年度实现扭亏为盈,并于2026年1月31日披露了《2025年年度业绩预盈公告》(公告编号:2026-006)。随着年报审计、评估工作的深入推进,公司与会计师、评估师等相关中介机构进行了进一步充分地沟通,基于谨慎性原则,对下列事项进行了相应调整:(一)公司为大力拓展国内市场,在持续强化渠道能力的过程中,逐步优化经销商队伍。经与审计机构沟通,基于谨慎性考虑,公司对此类经销商应收账款无法收回的部分不确认收入,导致公司营业收入减少约6,240万元、利润总额减少约4,100万元。(二)随着年度审计工作的深入,并与会计师充分沟通,公司就存货跌价准备和商誉减值进行重新测算,追加计提资产减值损失和商誉减值损失合计约4,800万元。(三)近期,公司参考税务顾问的意见,对所得税费用进行复核与审慎分析,对部分仍处于亏损状态的海外子公司,冲回部分递延所得税资产,导致归属于上市公司股东的净利润减少约1,900万元。",减亏,-151420300.0,2026-04-29
4,603313,梦百合,扣除非经常性损益后的净利润,"预计2025年1-12月扣除非经常性损益后的净利润亏损:3,931.23万元。",-39312300.0,85.94,"2026年1月底,经财务部门内部测算,公司预计2025年年度实现扭亏为盈,并于2026年1月31日披露了《2025年年度业绩预盈公告》(公告编号:2026-006)。随着年报审计、评估工作的深入推进,公司与会计师、评估师等相关中介机构进行了进一步充分地沟通,基于谨慎性原则,对下列事项进行了相应调整:(一)公司为大力拓展国内市场,在持续强化渠道能力的过程中,逐步优化经销商队伍。经与审计机构沟通,基于谨慎性考虑,公司对此类经销商应收账款无法收回的部分不确认收入,导致公司营业收入减少约6,240万元、利润总额减少约4,100万元。(二)随着年度审计工作的深入,并与会计师充分沟通,公司就存货跌价准备和商誉减值进行重新测算,追加计提资产减值损失和商誉减值损失合计约4,800万元。(三)近期,公司参考税务顾问的意见,对所得税费用进行复核与审慎分析,对部分仍处于亏损状态的海外子公司,冲回部分递延所得税资产,导致归属于上市公司股东的净利润减少约1,900万元。",减亏,-279702100.0,2026-04-29
5,600187,*ST国中,扣除后营业收入,"预计2025年1-12月扣除后营业收入:19,233万元。",192330000.0,,"(一)主营业务影响。(1)东营国中环保科技有限公司因计提2020年污水处理费的应收账款的坏账准备,导致信用资产减值损失3,938.35万元。(2)北京中科国益环保工程有限公司于2025年4月中标云南云县城镇污水垃圾处理工程,合同总金额19,641万元,但未如期开工建设。(二)非经营性损益的影响。(1)本期评估对诸暨市文盛汇自有资金投资有限公司的长期股权投资存在减值迹象,根据第三方的价值分析报告以及该长期股权投资截至2025年12月31日的价值,对该长期股权投资减值约24,222万元。(2)本期确认对诸暨市文盛汇自有资金投资有限公司的投资收益15,835万元,其中因北京汇源食品饮料有限公司处置其六家亏损子公司而确认的投资收益为12,995万元。",不确定,,2026-04-29
6,600187,*ST国中,营业收入,"预计2025年1-12月营业收入:22,282万元。",222820000.0,24.37,"(一)主营业务影响。(1)东营国中环保科技有限公司因计提2020年污水处理费的应收账款的坏账准备,导致信用资产减值损失3,938.35万元。(2)北京中科国益环保工程有限公司于2025年4月中标云南云县城镇污水垃圾处理工程,合同总金额19,641万元,但未如期开工建设。(二)非经营性损益的影响。(1)本期评估对诸暨市文盛汇自有资金投资有限公司的长期股权投资存在减值迹象,根据第三方的价值分析报告以及该长期股权投资截至2025年12月31日的价值,对该长期股权投资减值约24,222万元。(2)本期确认对诸暨市文盛汇自有资金投资有限公司的投资收益15,835万元,其中因北京汇源食品饮料有限公司处置其六家亏损子公司而确认的投资收益为12,995万元。",略增,179155700.0,2026-04-29
7,600187,*ST国中,归属于上市公司股东的净利润,"预计2025年1-12月归属于上市公司股东的净利润亏损:21,491万元。",-214910000.0,-593.15,"(一)主营业务影响。(1)东营国中环保科技有限公司因计提2020年污水处理费的应收账款的坏账准备,导致信用资产减值损失3,938.35万元。(2)北京中科国益环保工程有限公司于2025年4月中标云南云县城镇污水垃圾处理工程,合同总金额19,641万元,但未如期开工建设。(二)非经营性损益的影响。(1)本期评估对诸暨市文盛汇自有资金投资有限公司的长期股权投资存在减值迹象,根据第三方的价值分析报告以及该长期股权投资截至2025年12月31日的价值,对该长期股权投资减值约24,222万元。(2)本期确认对诸暨市文盛汇自有资金投资有限公司的投资收益15,835万元,其中因北京汇源食品饮料有限公司处置其六家亏损子公司而确认的投资收益为12,995万元。",首亏,43579200.0,2026-04-29
8,600187,*ST国中,扣除非经常性损益后的净利润,"预计2025年1-12月扣除非经常性损益后的净利润亏损:5,976万元。",-59760000.0,-806.63,"(一)主营业务影响。(1)东营国中环保科技有限公司因计提2020年污水处理费的应收账款的坏账准备,导致信用资产减值损失3,938.35万元。(2)北京中科国益环保工程有限公司于2025年4月中标云南云县城镇污水垃圾处理工程,合同总金额19,641万元,但未如期开工建设。(二)非经营性损益的影响。(1)本期评估对诸暨市文盛汇自有资金投资有限公司的长期股权投资存在减值迹象,根据第三方的价值分析报告以及该长期股权投资截至2025年12月31日的价值,对该长期股权投资减值约24,222万元。(2)本期确认对诸暨市文盛汇自有资金投资有限公司的投资收益15,835万元,其中因北京汇源食品饮料有限公司处置其六家亏损子公司而确认的投资收益为12,995万元。",首亏,8457000.0,2026-04-29
9,301636,泽润新能,归属于上市公司股东的净利润,"预计2025年1-12月归属于上市公司股东的净利润盈利:2,500万元至3,500万元,同比上年下降:73.35%至80.96%。",30000000.0,-77.155,"2025年,公司营业收入总体保持稳定。然而,受全球光伏行业周期性调整影响,阶段性供需错配导致公司光伏产品市场竞争加剧,尽管行业启动反内卷举措,但供需失衡的局面尚未根本改善,公司内销毛利率持续下滑。与此同时,2025年下半年《大而美法案》推出,导致公司与部分海外客户订单下滑较多,叠加公司主要原材料铜材价格持续攀升,加之人民币汇率波动致使公司汇兑收益减少,以上因素对公司利润有较大影响。2026年,公司将持续推进产品的优化与创新,在稳固光伏主业竞争优势的同时,依托长期积累的电气连接与保护核心技术,增强新能源汽车业务,打造强劲的第二增长曲线。与此同时,公司将加快全球多元布局的步伐,以此进一步提升公司的抗风险能力、盈利能力。",预减,131318200.0,2026-04-29
10,301636,泽润新能,扣除非经常性损益后的净利润,"预计2025年1-12月扣除非经常性损益后的净利润盈利:1,600万元至2,400万元,同比上年下降:80.03%至86.69%。",20000000.0,-83.36,"2025年,公司营业收入总体保持稳定。然而,受全球光伏行业周期性调整影响,阶段性供需错配导致公司光伏产品市场竞争加剧,尽管行业启动反内卷举措,但供需失衡的局面尚未根本改善,公司内销毛利率持续下滑。与此同时,2025年下半年《大而美法案》推出,导致公司与部分海外客户订单下滑较多,叠加公司主要原材料铜材价格持续攀升,加之人民币汇率波动致使公司汇兑收益减少,以上因素对公司利润有较大影响。2026年,公司将持续推进产品的优化与创新,在稳固光伏主业竞争优势的同时,依托长期积累的电气连接与保护核心技术,增强新能源汽车业务,打造强劲的第二增长曲线。与此同时,公司将加快全球多元布局的步伐,以此进一步提升公司的抗风险能力、盈利能力。",预减,120167300.0,2026-04-29
11,603690,至纯科技,归属于上市公司股东的净利润,"预计2025年1-12月归属于上市公司股东的净利润亏损:70,000万元至90,000万元。",-800000000.0,-3490.19,"本期业绩变化主要系公司收入同比下降、研发费用增长、单项计提信用减值准备以及非经常性损益下降影响,具体情况如下:1、报告期内,公司高纯工艺系统业务及湿法设备业务收入较去年同期减少,主要受到国内市场竞争加剧、交付进度低于预期等因素影响。2、报告期内公司继续推行战略业务布局,持续增加研发投入,加大响应先进制程的高阶湿法设备研发以及供应链国产化建设。3、依照《企业会计准则》及公司会计政策的相关规定,基于谨慎性原则,公司对部分其他应收款进行了单项计提信用减值准备,详见公司于同日在上海证券交易所公告的《关于2025年度单项计提信用减值准备的公告》(公告编号:2026-004)。4、2025年度非经常性损益较2024年度减少,主要系2024年度公司投资收益及公允价值变动合计共5,784.95万元,因此2024年度非经常性损益较多。",首亏,23597500.0,2026-04-28
12,603690,至纯科技,营业收入,"预计2025年1-12月营业收入:270,000万元至290,000万元,同比上年下降:19.56%至25.1%,同比上年降低70,500万元至90,500万元。",2800000000.0,-22.33,"本期业绩变化主要系公司收入同比下降、研发费用增长、单项计提信用减值准备以及非经常性损益下降影响,具体情况如下:1、报告期内,公司高纯工艺系统业务及湿法设备业务收入较去年同期减少,主要受到国内市场竞争加剧、交付进度低于预期等因素影响。2、报告期内公司继续推行战略业务布局,持续增加研发投入,加大响应先进制程的高阶湿法设备研发以及供应链国产化建设。3、依照《企业会计准则》及公司会计政策的相关规定,基于谨慎性原则,公司对部分其他应收款进行了单项计提信用减值准备,详见公司于同日在上海证券交易所公告的《关于2025年度单项计提信用减值准备的公告》(公告编号:2026-004)。4、2025年度非经常性损益较2024年度减少,主要系2024年度公司投资收益及公允价值变动合计共5,784.95万元,因此2024年度非经常性损益较多。",略减,3604680268.78,2026-04-28
13,603690,至纯科技,扣除非经常性损益后的净利润,"预计2025年1-12月扣除非经常性损益后的净利润亏损:74,000万元至94,000万元。",-840000000.0,-1363.235,"本期业绩变化主要系公司收入同比下降、研发费用增长、单项计提信用减值准备以及非经常性损益下降影响,具体情况如下:1、报告期内,公司高纯工艺系统业务及湿法设备业务收入较去年同期减少,主要受到国内市场竞争加剧、交付进度低于预期等因素影响。2、报告期内公司继续推行战略业务布局,持续增加研发投入,加大响应先进制程的高阶湿法设备研发以及供应链国产化建设。3、依照《企业会计准则》及公司会计政策的相关规定,基于谨慎性原则,公司对部分其他应收款进行了单项计提信用减值准备,详见公司于同日在上海证券交易所公告的《关于2025年度单项计提信用减值准备的公告》(公告编号:2026-004)。4、2025年度非经常性损益较2024年度减少,主要系2024年度公司投资收益及公允价值变动合计共5,784.95万元,因此2024年度非经常性损益较多。",增亏,-57407000.0,2026-04-28
14,603516,淳中科技,营业收入,"预计2025年1-12月营业收入:32,900万元,同比上年下降:33.48%,同比上年降低16,600万元。",329000000.0,-33.48,"公司在披露《2025年年度业绩预告》时,年度审计工作尚未全面展开,相关数据系基于当时已获取的信息进行测算。随着年度审计工作的推进,公司与年审会计师充分沟通,基于谨慎性原则对部分业务收入确认方式由总额法调整为净额法核算,从而导致对《2025年年度业绩预告》数据进行更正。",略减,495000000.0,2026-04-28
15,603389,亚振家居,扣除后营业收入,"预计2025年1-12月扣除后营业收入:45,500万元至50,000万元。",477500000.0,,"报告期内,公司通过优化业务经营布局、强化成本管控、加强财务管理力度等措施,有效控制了亏损幅度。同时,公司通过新并入的子公司广西锆业科技有限公司切入锆钛矿选矿加工领域,构建“家居+锆钛矿”的双主业经营格局,新并入的锆钛矿选矿加工业务已呈现稳定持续发展局面,对公司转型发展战略形成有力支撑。",预增,190631000.0,2026-04-28
16,603389,亚振家居,归属于上市公司股东的净利润,"预计2025年1-12月归属于上市公司股东的净利润亏损:5,400万元至7,000万元。",-62000000.0,46.99,"报告期内,公司通过优化业务经营布局、强化成本管控、加强财务管理力度等措施,有效控制了亏损幅度。同时,公司通过新并入的子公司广西锆业科技有限公司切入锆钛矿选矿加工领域,构建“家居+锆钛矿”的双主业经营格局,新并入的锆钛矿选矿加工业务已呈现稳定持续发展局面,对公司转型发展战略形成有力支撑。",减亏,-116957600.0,2026-04-28
17,603389,亚振家居,扣除非经常性损益后的净利润,"预计2025年1-12月扣除非经常性损益后的净利润亏损:8,500万元至10,000万元。",-92500000.0,20.375,"报告期内,公司通过优化业务经营布局、强化成本管控、加强财务管理力度等措施,有效控制了亏损幅度。同时,公司通过新并入的子公司广西锆业科技有限公司切入锆钛矿选矿加工领域,构建“家居+锆钛矿”的双主业经营格局,新并入的锆钛矿选矿加工业务已呈现稳定持续发展局面,对公司转型发展战略形成有力支撑。",减亏,-116170100.0,2026-04-28
